tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title,check,averageRating,numVotes,budget_LCY,gross_USA_USD,cumm_worldwide_gross_USD
tt1485796,movie,The Greatest Showman,The Greatest Showman,0,2017,\N,105,"Biography,Drama,Musical",The Greatest Showman,1,7.6,208200,$84000000,174.34,434.99
tt1488606,movie,Triple Frontier,Triple Frontier,0,2019,\N,125,"Action,Adventure,Crime",Triple Frontier,1,6.5,84167,,,
tt1489887,movie,Booksmart,Booksmart,0,2019,\N,102,Comedy,Booksmart,1,7.3,44915,$6000000,22.68,24.62
tt1489889,movie,Central Intelligence,Central Intelligence,0,2016,\N,107,"Action,Comedy,Crime",Central Intelligence,1,6.3,144537,$50000000,127.44,216.97
tt1490785,movie,I Saw the Light,I Saw the Light,0,2015,\N,123,"Biography,Drama,Music",I Saw the Light,1,5.7,5854,$13000000,1.65,1.77
tt1502407,movie,Halloween,Halloween,0,2018,\N,106,"Horror,Thriller",Halloween,1,6.6,101700,$10000000,159.34,255.49
tt1502712,movie,Fantastic Four,Fantastic Four,0,2015,\N,100,"Action,Adventure,Drama",Fantastic Four,1,4.3,142694,$120000000,56.12,167.88
tt1507571,movie,The Tribes of Palos Verdes,The Tribes of Palos Verdes,0,2017,\N,104,Drama,The Tribes of Palos Verdes,1,5.8,1829,,0.01,0.01
tt1517451,movie,A Star Is Born,A Star Is Born,0,2018,\N,136,"Drama,Music,Romance",A Star Is Born,1,7.7,283198,$36000000,215.29,434.89
tt1519461,movie,Area 51,Area 51,0,2015,\N,91,"Horror,Mystery,Sci-Fi",Area 51,1,4.2,11843,$5000000,0.01,0.01
tt1524575,movie,The Vatican Tapes,The Vatican Tapes,0,2015,\N,91,"Horror,Thriller",The Vatican Tapes,1,5.0,15188,$8000000,1.78,13.02
tt1524930,movie,Vacation,Vacation,0,2015,\N,99,"Adventure,Comedy",Vacation,1,6.1,89657,$31000000,58.88,104.88
tt1528100,movie,Exodus: Gods and Kings,Exodus: Gods and Kings,0,2014,\N,150,"Action,Drama,Fantasy",Exodus: Gods and Kings,1,6.0,152987,$140000000,65.01,268.18
tt1528854,movie,Daddy's Home,Daddy's Home,0,2015,\N,96,"Comedy,Family",Daddy's Home,1,6.2,100053,$50000000,150.36,242.79
tt1540011,movie,Blair Witch,Blair Witch,0,2016,\N,89,"Horror,Mystery,Thriller",Blair Witch,1,5.0,38263,$5000000,20.78,45.17
tt1542768,movie,True Memoirs of an International Assassin,True Memoirs of an International Assassin,0,2016,\N,98,"Action,Comedy,Crime",True Memoirs of an International Assassin,1,5.9,17952,$40000000,,
tt1544608,movie,Voice from the Stone,Voice from the Stone,0,2017,\N,94,"Drama,Mystery,Thriller",Voice from the Stone,1,5.2,9204,,,0.09
tt1560220,movie,Zombieland: Double Tap,Zombieland: Double Tap,0,2019,\N,99,"Action,Comedy,Horror",Zombieland: Double Tap,1,7.2,26631,$42000000,66.64,101.94
tt1563742,movie,Overboard,Overboard,0,2018,\N,112,"Comedy,Romance",Overboard,1,5.9,28563,$12000000,50.32,91.24
tt1571234,movie,Mortal Engines,Mortal Engines,0,2018,\N,128,"Action,Adventure,Fantasy",Mortal Engines,1,6.1,84787,$100000000,15.95,83.67
tt1588878,movie,The Late Bloomer,The Late Bloomer,0,2016,\N,90,"Comedy,Drama,Romance",The Late Bloomer,1,5.2,7345,$3500000,,
tt1590193,movie,The Commuter,The Commuter,0,2018,\N,105,"Action,Mystery,Thriller",The Commuter,1,6.3,88888,$30000000,36.34,119.94
tt1594972,movie,Norm of the North,Norm of the North,0,2016,\N,90,"Adventure,Animation,Comedy",Norm of the North,1,3.4,8143,$7000000,17.06,30.73
tt1596363,movie,The Big Short,The Big Short,0,2015,\N,130,"Biography,Comedy,Drama",The Big Short,1,7.8,321059,$28000000,70.26,133.44
tt1598642,movie,Z for Zachariah,Z for Zachariah,0,2015,\N,98,"Drama,Sci-Fi,Thriller",Z for Zachariah,1,6.0,26109,$7500000,0.12,0.38
tt1608290,movie,Zoolander 2,Zoolander 2,0,2016,\N,101,"Action,Comedy",Zoolander 2,1,4.7,61116,$50000000,28.85,56.72
tt1612319,movie,Re-Kill,Re-Kill,0,2015,\N,88,"Action,Horror",Re-Kill,1,5.0,2353,$9500000,,
tt1615160,movie,The Foreigner,The Foreigner,0,2017,\N,113,"Action,Thriller",The Foreigner,1,7.0,85831,$35000000,34.39,145.37
tt1617661,movie,Jupiter Ascending,Jupiter Ascending,0,2015,\N,127,"Action,Adventure,Sci-Fi",Jupiter Ascending,1,5.3,169886,$176000000,47.39,183.89
tt1618434,movie,Murder Mystery,Murder Mystery,0,2019,\N,97,"Action,Comedy,Crime",Murder Mystery,1,6.0,72578,,,
tt1618442,movie,The Last Witch Hunter,The Last Witch Hunter,0,2015,\N,106,"Action,Adventure,Fantasy",The Last Witch Hunter,1,6.0,88426,$90000000,27.37,146.94
tt1619029,movie,Jackie,Jackie,0,2016,\N,100,"Biography,Drama,History",Jackie,1,6.7,67637,$9000000,13.96,24.27
tt1620680,movie,A Wrinkle in Time,A Wrinkle in Time,0,2018,\N,109,"Adventure,Family,Fantasy",A Wrinkle in Time,1,4.2,36835,$100000000,100.48,132.68
tt1620935,movie,Bleed for This,Bleed for This,0,2016,\N,117,"Biography,Drama,Sport",Bleed for This,1,6.8,22676,$6000000,5.08,6.7
tt1620981,movie,The Addams Family,The Addams Family,0,2019,\N,86,"Animation,Comedy,Family",The Addams Family,1,5.9,6050,$40000000,91.43,155.53
tt1628841,movie,Independence Day: Resurgence,Independence Day: Resurgence,0,2016,\N,120,"Action,Adventure,Sci-Fi",Independence Day: Resurgence,1,5.2,158266,$165000000,103.14,389.68
tt1629242,movie,Careful What You Wish For,Careful What You Wish For,0,2015,\N,91,"Drama,Thriller",Careful What You Wish For,1,5.6,6890,$8000000,,0.08
tt1638355,movie,The Man from U.N.C.L.E.,The Man from U.N.C.L.E.,0,2015,\N,116,"Action,Adventure,Comedy",The Man from U.N.C.L.E.,1,7.3,246579,$75000000,45.45,107.05
tt1639084,movie,Tallulah,Tallulah,0,2016,\N,111,"Comedy,Drama,Romance",Tallulah,1,6.7,15607,,,
tt1641841,movie,Skin Trade,Skin Trade,0,2014,\N,96,"Action,Crime,Thriller",Skin Trade,1,5.6,7103,$9000000,0.0,0.6
tt1648190,movie,The Dark Tower,The Dark Tower,0,2017,\N,95,"Action,Adventure,Fantasy",The Dark Tower,1,5.6,115505,$60000000,50.7,113.23
tt1655441,movie,The Age of Adaline,The Age of Adaline,0,2015,\N,112,"Drama,Fantasy,Romance",The Age of Adaline,1,7.2,142924,$25000000,42.63,65.66
tt1655461,movie,Wild Oats,Wild Oats,0,2016,\N,86,"Action,Adventure,Comedy",Wild Oats,1,5.6,3006,$10000000,0.04,0.25
tt1658801,movie,Freeheld,Freeheld,0,2015,\N,103,"Biography,Drama,Romance",Freeheld,1,6.6,10835,$7000000,0.57,1.47
tt1661199,movie,Cinderella,Cinderella,0,2015,\N,105,"Drama,Family,Fantasy",Cinderella,1,6.9,147722,$95000000,201.15,542.35
tt1662500,movie,Everlasting,Everlasting,0,2016,\N,85,"Crime,Drama,Mystery",Everlasting,1,7.0,2096,,,
tt1663202,movie,The Revenant,The Revenant,0,2015,\N,156,"Action,Adventure,Biography",The Revenant,1,8.0,642334,$135000000,183.64,532.95
tt1663655,movie,Martyrs,Martyrs,0,2015,\N,86,"Drama,Horror,Thriller",Martyrs,1,4.0,4771,$1000000,,0.4
tt1666185,movie,All Eyez on Me,All Eyez on Me,0,2017,\N,139,"Biography,Drama,Music",All Eyez on Me,1,5.8,19224,$40000000,44.92,55.67
tt1666801,movie,The Duff,The Duff,0,2015,\N,101,"Comedy,Romance",The Duff,1,6.5,77062,$8500000,34.03,43.53
tt1674771,movie,Entourage,Entourage,0,2015,\N,104,Comedy,Entourage,1,6.6,72614,$30000000,32.36,49.26
tt1677720,movie,Ready Player One,Ready Player One,0,2018,\N,140,"Action,Adventure,Sci-Fi",Ready Player One,1,7.5,319601,$175000000,137.69,582.89
tt1679335,movie,Trolls,Trolls,0,2016,\N,92,"Adventure,Animation,Comedy",Trolls,1,6.5,64868,$125000000,153.71,346.86
tt1690967,movie,Come Sunday,Come Sunday,0,2018,\N,106,Drama,Come Sunday,1,5.9,1653,,,
tt1691916,movie,Before I Fall,Before I Fall,0,2017,\N,98,"Drama,Fantasy,Mystery",Before I Fall,1,6.4,40958,$5000000,12.24,16.37
tt1694021,movie,Into the Grizzly Maze,Into the Grizzly Maze,0,2015,\N,94,"Action,Adventure,Drama",Into the Grizzly Maze,1,5.3,7162,$10000000,,
tt1700841,movie,Sausage Party,Sausage Party,0,2016,\N,89,"Adventure,Animation,Comedy",Sausage Party,1,6.2,163466,$19000000,97.69,140.71
tt1703957,movie,Genius,Genius,0,2016,\N,104,"Biography,Drama",Genius,1,6.6,16193,,1.36,5.68
tt1711525,movie,Office Christmas Party,Office Christmas Party,0,2016,\N,105,Comedy,Office Christmas Party,1,5.8,61033,$45000000,54.77,114.5
tt1712192,movie,Message from the King,Message from the King,0,2016,\N,102,"Action,Thriller",Message from the King,1,6.4,10075,$10000000,,0.32
tt1712261,movie,Triple 9,Triple 9,0,2016,\N,115,"Crime,Thriller",Triple 9,1,6.3,61640,$20000000,12.64,23.12
tt1718924,movie,A Family Man,A Family Man,0,2016,\N,108,Drama,A Family Man,1,6.5,8872,,,1.64
tt1724597,movie,London Town,London Town,0,2016,\N,92,"Drama,Music",London Town,1,6.4,1855,,,0.0
